fleet,2021,2022,2023,2024
JPNDF_qt14,36.92,53.64,53.64,53.64
JPNDF_qt23,58.08,84.36,84.36,84.36
JPNLL_qt1_Area1,118.186,74.753,128.802,82.939
JPNLL_qt1_Area2,86.779,70.142,70.727,135.179
JPNLL_qt1_Area3,13.53,28.525,9.595,40.944
JPNLL_qt1_Area4,0.0,0.0,0.099,0.375
JPNLL_qt2_Area1,168.828,102.377,175.215,226.7
JPNLL_qt2_Area2,0.307,0.788,0.286,0.976
JPNLL_qt3_Area1,70.497,35.542,26.044,25.384
JPNLL_qt3_Area2,1.116,0.881,1.487,1.4
JPNLL_qt4_Area1,88.118,76.055,105.305,0.0
JPNLL_qt4_Area2,0.0,0.0,0.259,0.0
JPNLL_qt4_Area3,1.122,3.683,4.566,0.0
other_ll,132.0,136.0,136.0,136.0
others,111.0,125.0,125.0,125.0
