"yy","cond_code2","val"
2009,"A1",1
2009,"D",1
2010,"A1",1
2010,"D",2
2011,"A1",2
2011,"D",1
2012,"A1",1
2012,"D",6
2013,"A1",4
2013,"D",10
2014,"A0",2
2014,"A1",5
2014,"D",12
2015,"A0",33
2015,"A1",4
2015,"A2",1
2015,"A3",2
2015,"D",69
2016,"A0",1
2016,"A1",35
2016,"A2",4
2016,"A3",3
2016,"D",44
2017,"A0",74
2017,"A1",27
2017,"A2",1
2017,"A3",4
2017,"D",161
2018,"A0",103
2018,"A1",18
2018,"A2",1
2018,"A3",3
2018,"D",212
2019,"A0",164
2019,"A1",42
2019,"A2",2
2019,"A3",7
2019,"D",462
2020,"A0",41
2020,"A1",17
2020,"A2",5
2020,"A3",2
2020,"D",137
2021,"A0",56
2021,"A1",1
2021,"A2",2
2021,"A3",1
2021,"D",76
2022,"A0",26
2022,"A2",1
2022,"D",33
