Sum of val,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,10,20,30,40,50,60,70,NA,Grand Total,,Row Labels,10,20,30,40,50,60,70,NA,Grand Total,10,20,30,40,50,60,70,NA,Grand Total
1990,3,,,,,,,28,31,,1990,3,,,,,,,28,31,10%,0%,0%,0%,0%,0%,0%,90%,
1991,,4,,,,,,107,111,,1991,,4,,,,,,107,111,0%,4%,0%,0%,0%,0%,0%,96%,
1992,,,,1,,,,143,144,,1992,,,,1,,,,143,144,0%,0%,0%,1%,0%,0%,0%,99%,
1993,3,14,11,4,,,4,141,177,,1993,3,14,11,4,,,4,141,177,2%,8%,6%,2%,0%,0%,2%,80%,
1994,44,29,11,,1,2,,103,190,,1994,44,29,11,,1,2,,103,190,23%,15%,6%,0%,1%,1%,0%,54%,
1995,38,67,54,3,8,,,95,265,,1995,38,67,54,3,8,,,95,265,14%,25%,20%,1%,3%,0%,0%,36%,
1996,62,83,62,1,,9,,123,340,,1996,62,83,62,1,,9,,123,340,18%,24%,18%,0%,0%,3%,0%,36%,
1997,66,66,57,17,,,2,158,366,,1997,66,66,57,17,,,2,158,366,18%,18%,16%,5%,0%,0%,1%,43%,
1998,60,138,42,22,14,,,2,278,,1998,60,138,42,22,14,,,2,278,22%,50%,15%,8%,5%,0%,0%,1%,
1999,22,104,71,4,20,,,3,224,,1999,22,104,71,4,20,,,3,224,10%,46%,32%,2%,9%,0%,0%,1%,
2000,46,87,85,28,7,1,10,,264,,2000,46,87,85,28,7,1,10,,264,17%,33%,32%,11%,3%,0%,4%,0%,
2001,54,192,395,43,12,,1,9,706,,2001,54,192,395,43,12,,1,9,706,8%,27%,56%,6%,2%,0%,0%,1%,
2002,102,206,487,65,50,2,3,2,917,,2002,102,206,487,65,50,2,3,2,917,11%,22%,53%,7%,5%,0%,0%,0%,
2003,126,138,790,54,,,,44,1152,,2003,126,138,790,54,,,,44,1152,11%,12%,69%,5%,0%,0%,0%,4%,
2004,110,127,881,73,2,,5,12,1210,,2004,110,127,881,73,2,,5,12,1210,9%,10%,73%,6%,0%,0%,0%,1%,
2005,294,145,817,46,20,,,12,1334,,2005,294,145,817,46,20,,,12,1334,22%,11%,61%,3%,1%,0%,0%,1%,
2006,210,173,1077,71,35,13,,2,1581,,2006,210,173,1077,71,35,13,,2,1581,13%,11%,68%,4%,2%,1%,0%,0%,
2007,231,88,583,37,16,4,,,959,,2007,231,88,583,37,16,4,,,959,24%,9%,61%,4%,2%,0%,0%,0%,
2008,355,227,975,19,13,12,,2,1603,,2008,355,227,975,19,13,12,,2,1603,22%,14%,61%,1%,1%,1%,0%,0%,
2009,305,201,624,23,6,6,,29,1194,,2009,305,201,624,23,6,6,,29,1194,26%,17%,52%,2%,1%,1%,0%,2%,
2010,110,176,433,8,33,,,14,774,,2010,110,176,433,8,33,,,14,774,14%,23%,56%,1%,4%,0%,0%,2%,
2011,265,220,1068,59,73,34,,4,1723,,2011,265,220,1068,59,73,34,,4,1723,15%,13%,62%,3%,4%,2%,0%,0%,
2012,184,306,939,68,134,17,,3,1651,,2012,184,306,939,68,134,17,,3,1651,11%,19%,57%,4%,8%,1%,0%,0%,
2013,175,286,1187,277,117,13,,,2055,,2013,175,286,1187,277,117,13,,,2055,9%,14%,58%,13%,6%,1%,0%,0%,
2014,142,294,1540,186,131,48,,9,2350,,2014,142,294,1540,186,131,48,,9,2350,6%,13%,66%,8%,6%,2%,0%,0%,
2015,76,543,1271,170,88,11,,13,2172,,2015,76,543,1271,170,88,11,,13,2172,3%,25%,59%,8%,4%,1%,0%,1%,
2016,126,495,1845,321,101,27,,29,2944,,2016,126,495,1845,321,101,27,,29,2944,4%,17%,63%,11%,3%,1%,0%,1%,
2017,178,675,1681,171,118,73,,32,2928,,2017,178,675,1681,171,118,73,,32,2928,6%,23%,57%,6%,4%,2%,0%,1%,
2018,142,501,2156,249,174,52,,73,3347,,2018,142,501,2156,249,174,52,,73,3347,4%,15%,64%,7%,5%,2%,0%,2%,
2019,68,741,2984,242,155,57,,53,4300,,2019,68,741,2984,242,155,57,,53,4300,2%,17%,69%,6%,4%,1%,0%,1%,
2020,40,364,1875,169,70,43,,40,2601,,2020,40,364,1875,169,70,43,,40,2601,2%,14%,72%,6%,3%,2%,0%,2%,
2021,93,388,1510,232,145,21,,60,2449,,2021,93,388,1510,232,145,21,,60,2449,4%,16%,62%,9%,6%,1%,0%,2%,
Grand Total,3730,7078,25511,2663,1543,445,25,1345,42340,,,,,,,,,,,Mean,11%,18%,45%,5%,3%,1%,0%,17%,
