"yy","hk_pos","val"
2008,1,4
2008,2,8
2008,3,7
2008,4,14
2008,5,5
2008,6,8
2008,7,5
2008,8,7
2008,9,5
2008,10,3
2008,11,8
2008,12,6
2008,13,1
2008,14,5
2008,15,3
2008,16,8
2008,17,2
2008,18,6
2008,20,3
2008,22,3
2009,1,7
2009,2,4
2009,3,6
2009,4,5
2009,5,11
2009,6,1
2009,7,12
2009,8,4
2009,9,8
2009,10,9
2009,11,2
2009,12,7
2009,13,6
2009,14,6
2009,15,9
2009,16,3
2009,17,2
2009,18,9
2009,19,2
2009,20,3
2009,21,1
2009,22,2
2009,23,2
2010,1,3
2010,2,3
2010,3,2
2010,4,7
2010,5,16
2010,6,7
2010,7,3
2010,8,2
2010,9,3
2010,10,17
2010,11,3
2010,12,6
2010,13,2
2010,14,6
2010,15,9
2010,16,4
2010,17,1
2010,18,1
2010,19,1
2010,20,6
2010,21,5
2010,23,1
2011,0,2
2011,1,22
2011,2,38
2011,3,34
2011,4,31
2011,5,24
2011,6,21
2011,7,33
2011,8,17
2011,9,14
2011,10,7
2011,11,12
2011,12,9
2011,13,9
2011,14,3
2011,15,8
2011,16,4
2011,17,3
2011,18,1
2011,20,4
2011,21,3
2011,23,2
2012,1,218
2012,2,202
2012,3,137
2012,4,102
2012,5,115
2012,6,87
2012,7,108
2012,8,90
2012,9,90
2012,10,104
2012,11,110
2012,12,82
2012,13,71
2012,14,23
2012,15,11
2012,16,7
2012,17,6
2012,18,3
2012,19,3
2012,22,2
2012,23,1
2013,1,357
2013,2,283
2013,3,212
2013,4,148
2013,5,144
2013,6,149
2013,7,133
2013,8,131
2013,9,138
2013,10,148
2013,11,167
2013,12,182
2013,13,170
2013,14,60
2013,15,33
2013,16,15
2013,17,10
2013,18,10
2013,19,7
2013,20,1
2013,21,1
2013,22,1
2014,1,468
2014,2,402
2014,3,292
2014,4,187
2014,5,179
2014,6,182
2014,7,157
2014,8,155
2014,9,164
2014,10,173
2014,11,251
2014,12,231
2014,13,206
2014,14,72
2014,15,65
2014,16,29
2014,17,25
2014,18,26
2014,19,8
2014,20,8
2014,21,1
2014,22,1
2014,23,1
2015,1,470
2015,2,354
2015,3,203
2015,4,118
2015,5,138
2015,6,111
2015,7,93
2015,8,112
2015,9,102
2015,10,162
2015,11,171
2015,12,159
2015,13,145
2015,14,44
2015,15,31
2015,16,19
2015,17,18
2015,18,8
2015,19,4
2015,20,7
2015,21,3
2015,22,1
2016,1,555
2016,2,429
2016,3,293
2016,4,228
2016,5,184
2016,6,182
2016,7,186
2016,8,164
2016,9,180
2016,10,191
2016,11,284
2016,12,216
2016,13,141
2016,14,71
2016,15,27
2016,16,11
2016,17,13
2016,18,5
2016,20,6
2016,21,2
2016,22,2
2017,1,750
2017,2,579
2017,3,396
2017,4,181
2017,5,169
2017,6,144
2017,7,136
2017,8,144
2017,9,146
2017,10,193
2017,11,255
2017,12,261
2017,13,192
2017,14,52
2017,15,33
2017,16,12
2017,17,2
2017,18,6
2017,19,5
2017,20,7
2017,21,5
2017,22,2
2018,1,687
2018,2,639
2018,3,389
2018,4,282
2018,5,224
2018,6,203
2018,7,232
2018,8,228
2018,9,241
2018,10,299
2018,11,349
2018,12,321
2018,13,165
2018,14,47
2018,15,35
2018,16,10
2018,17,10
2018,18,4
2018,19,8
2018,21,2
2018,23,1
2019,1,644
2019,2,595
2019,3,482
2019,4,362
2019,5,326
2019,6,278
2019,7,306
2019,8,273
2019,9,313
2019,10,382
2019,11,375
2019,12,354
2019,13,203
2019,14,84
2019,15,32
2019,16,22
2019,17,9
2019,18,1
2019,19,2
2019,20,4
2020,1,444
2020,2,412
2020,3,256
2020,4,189
2020,5,171
2020,6,157
2020,7,173
2020,8,168
2020,9,199
2020,10,204
2020,11,270
2020,12,278
2020,13,148
2020,14,45
2020,15,20
2020,16,12
2020,17,5
2020,22,1
2021,1,287
2021,2,307
2021,3,211
2021,4,108
2021,5,107
2021,6,88
2021,7,103
2021,8,100
2021,9,104
2021,10,114
2021,11,147
2021,12,241
2021,13,117
2021,14,34
2021,15,22
2021,16,15
2021,17,5
2021,18,2
2022,1,243
2022,2,197
2022,3,170
2022,4,91
2022,5,61
2022,6,58
2022,7,52
2022,8,50
2022,9,59
2022,10,80
2022,11,71
2022,12,79
2022,13,59
2022,14,27
2022,15,25
2022,16,8
2022,17,4
2022,18,2
2022,19,2
2022,20,1
2022,22,1
2022,24,1
