year,month,fleet,CPUE,Input SE ,Original SE
1994,1,26,0.97,0.2,
1995,1,26,1.18,0.2,
1996,1,26,0.81,0.2,
1997,1,26,0.88,0.2,
1998,1,26,1.21,0.2,
1999,1,26,0.83,0.2,
2000,1,26,0.75,0.2,
2001,1,26,0.73,0.2,
2002,1,26,0.62,0.2,
2003,1,26,0.76,0.2,
2004,1,26,0.6,0.2,
2005,1,26,0.58,0.2,
2006,1,26,0.59,0.2,
2007,1,26,0.58,0.2,
2008,1,26,0.69,0.2,
2009,1,26,0.55,0.2,
2010,1,26,0.56,0.2,
2011,1,26,0.59,0.2,
2012,1,26,0.58,0.2,
2013,1,26,0.58,0.2,
2014,1,26,0.61,0.2,
2015,1,26,0.61,0.2,
2016,1,26,0.63,0.2,
2017,1,26,0.55,0.2,
2018,1,26,0.57,0.2,
2019,1,26,0.66,0.2,
2020,1,26,0.58,0.2,
1994,7,27,1.14,0.2,
1995,7,27,1.4,0.2,
1996,7,27,1.08,0.2,
1997,7,27,0.89,0.2,
1998,7,27,1.05,0.2,
1999,7,27,1.03,0.2,
2000,7,27,0.78,0.2,
2001,7,27,0.86,0.2,
2002,7,27,0.75,0.2,
2003,7,27,0.83,0.2,
2004,7,27,0.72,0.2,
2005,7,27,0.67,0.2,
2006,7,27,0.67,0.2,
2007,7,27,0.63,0.2,
2008,7,27,0.7,0.2,
2009,7,27,0.7,0.2,
2010,7,27,0.71,0.2,
2011,7,27,0.81,0.2,
2012,7,27,0.72,0.2,
2013,7,27,0.7,0.2,
2014,7,27,0.74,0.2,
2015,7,27,0.74,0.2,
2016,7,27,0.72,0.2,
2017,7,27,0.67,0.2,
2018,7,27,0.7,0.2,
2019,7,27,0.8,0.2,
2020,7,27,0.69,0.2,
1995,1,28,1.47,0.2,
1996,1,28,1.07,0.2,
1997,1,28,0.85,0.2,
1998,1,28,0.89,0.2,
1999,1,28,0.89,0.2,
2000,1,28,0.62,0.2,
2001,1,28,0.94,0.2,
2002,1,28,0.53,0.2,
2003,1,28,1.05,0.2,
2004,1,28,0.72,0.2,
2005,1,28,0.68,0.2,
2006,1,28,0.69,0.2,
2007,1,28,0.38,0.2,
2008,1,28,0.51,0.2,
2009,1,28,0.34,0.2,
2010,1,28,0.23,0.2,
2011,1,28,0.49,0.2,
2012,1,28,0.36,0.2,
2013,1,28,0.35,0.2,
2014,1,28,0.43,0.2,
2015,1,28,0.39,0.2,
2016,1,28,0.35,0.2,
2017,1,28,0.38,0.2,
2018,1,28,0.37,0.2,
2019,1,28,0.42,0.2,
2020,1,28,0.34,0.2,
1995,1,29,1.25,0.2,
1996,1,29,0.77,0.2,
1997,1,29,0.72,0.2,
1998,1,29,1.12,0.2,
1999,1,29,0.93,0.2,
2000,1,29,0.46,0.2,
2001,1,29,0.9,0.2,
2002,1,29,1,0.2,
2003,1,29,1.73,0.2,
2004,1,29,1.87,0.2,
2005,1,29,1.77,0.2,
2006,1,29,1.14,0.2,
2007,1,29,0.99,0.2,
2008,1,29,0.95,0.2,
2009,1,29,0.66,0.2,
2010,1,29,0.81,0.2,
2011,1,29,0.93,0.2,
2012,1,29,1.01,0.2,
2013,1,29,1.67,0.2,
2014,1,29,0.63,0.2,
2015,1,29,0.6,0.2,
2016,1,29,0.54,0.2,
2017,1,29,1,0.2,
2018,1,29,0.68,0.2,
2019,1,29,0.72,0.2,
2020,1,29,1.14,0.2,
#1976,1,30,0.73,0.2,
1977,1,30,0.7,0.2,
1978,1,30,0.87,0.2,
1979,1,30,0.76,0.2,
1980,1,30,0.92,0.2,
1981,1,30,0.67,0.2,
1982,1,30,0.54,0.2,
1983,1,30,0.56,0.2,
1984,1,30,0.81,0.2,
1985,1,30,1.01,0.2,
1986,1,30,0.76,0.2,
1987,1,30,0.7,0.2,
1988,1,30,0.8,0.2,
1989,1,30,0.77,0.2,
1990,1,30,0.68,0.2,
1991,1,30,0.7,0.2,
1992,1,30,0.8,0.2,
1993,1,30,0.86,0.2,
#1976,7,31,0.92,0.2,
1977,7,31,0.86,0.2,
1978,7,31,0.96,0.2,
1979,7,31,1.21,0.2,
1980,7,31,1.15,0.2,
1981,7,31,0.92,0.2,
1982,7,31,0.86,0.2,
1983,7,31,0.85,0.2,
1984,7,31,1.08,0.2,
1985,7,31,1.23,0.2,
1986,7,31,1.14,0.2,
1987,7,31,0.93,0.2,
1988,7,31,1.36,0.2,
1989,7,31,1.12,0.2,
1990,7,31,0.85,0.2,
1991,7,31,0.94,0.2,
1992,7,31,1.06,0.2,
1993,7,31,0.98,0.2,
